Crater Baco,             -51.04,   19.01,    65.31
Crater Baillaud,          74.61,   37.35,    89.44
Crater Bailly,           -66.82,  -68.09,   300.56
Crater Baily,             49.78,   30.56,    25.68
Crater Balandin,         -18.94,  152.58,    11.81
Crater Balboa,            19.24,  -83.31,    69.19
Crater Baldet,           -53.32, -151.96,    55.76
Crater Ball,             -35.92,   -8.39,    40.31
Crater Balmer,           -20.27,   70.22,   136.03
Crater Banachiewicz,       5.28,   80.01,    99.09
Crater Bancroft,          28.07,   -6.43,    12.05
Crater Banting,           26.58,   16.43,     5.15
Crater Barbier,          -23.85,  157.93,    65.38
Crater Barkla,           -10.67,   67.22,    40.09
Crater Barnard,          -29.79,   85.95,   115.73
Crater Barocius,         -44.98,   16.81,    82.72
Crater Barringer,        -28.22, -150.43,    66.89
Crater Barrow,            71.28,    7.59,    93.82
Crater Bartels,           24.51,  -89.85,    54.95
Crater Bawa,             -25.28,  102.56,     1.57
Crater Bayer,            -51.62,  -35.14,    48.51
Crater Beals,             37.11,   86.58,    52.61
Crater Beaumont,         -18.08,   28.82,    50.69
Crater Becquerel,         40.79,  129.05,    62.86
Crater Bečvář,            -2.57,  125.07,    66.62
Crater Beer,              27.07,   -9.01,     9.06
Crater Behaim,           -16.61,   79.41,    56.21
Crater Beijerinck,       -13.04,  151.84,    76.77
Crater Beketov,           16.23,   29.18,     8.03
Crater Béla,              24.67,    2.27,    10.07
Crater Bel'kovich,        61.53,   90.15,   215.08
Crater Bell,              21.98,  -96.53,    86.33
Crater Bellinsgauzen,    -60.72, -164.85,    63.23
Crater Bellot,           -12.48,   48.19,    17.05
Crater Belopol'skiy,     -17.25, -128.23,    61.09
Crater Belyaev,           23.01,  143.11,    55.09
Crater Benedict,           4.35,  141.54,    13.83
Crater Bergman,            6.97,  137.49,    22.51
Crater Bergstrand,       -18.72,  176.44,    42.98
Crater Berkner,           25.13, -105.24,    87.62
Crater Berlage,          -63.04, -163.61,    93.75
Crater Bernoulli,         34.93,   60.61,    47.03
Crater Berosus,           33.05,   69.99,    75.24
Crater Berzelius,         36.55,   50.95,    48.53
Crater Bessarion,         14.85,  -37.31,     9.84
Crater Bessel,            21.73,   17.92,    15.56
Crater Bettinus,         -63.04,  -45.16,    71.78
Crater Bhabha,           -55.05, -165.31,    70.25
Crater Bianchini,         48.78,  -34.37,    37.59
Crater Biela,            -54.99,   51.63,    77.03
Crater Bilharz,           -5.83,   56.34,    44.55
Crater Billy,            -13.83,  -50.24,    45.57
Crater Bingham,            8.02,  115.05,    34.99
Crater Biot,             -22.07,   51.08,    13.01
Crater Birkeland,        -30.17,  174.01,    81.64
Crater Birkhoff,          58.45, -145.65,   329.81
Crater Birmingham,        65.12,  -10.07,    89.92
Crater Birt,             -22.36,   -8.59,    15.81
Crater Bi Sheng,          78.35,  148.46,    55.27
Crater Bjerknes,         -38.05,  113.69,    48.18
Crater Black,             -9.02,   80.39,    19.46
Crater Blackett,         -37.55, -115.84,   145.31
Crater Blagg,              1.22,    1.46,     4.97
Crater Blancanus,        -63.77,  -21.63,   105.82
Crater Blanchard,        -58.25,  -93.05,    37.46
Crater Blanchinus,       -25.32,    2.44,    59.09
Crater Blazhko,           31.37, -147.86,    51.11
Crater Bliss,             53.04,  -13.78,    22.85
Crater Bobillier,         19.63,   15.44,     6.04
Crater Bobone,            26.07, -132.12,    32.14
Crater Bode,               6.71,   -2.45,    17.08
Crater Boethius,           5.57,   72.33,    11.17
Crater Boguslawsky,      -72.09,   43.26,    94.59
Crater Bohnenberger,     -16.24,   40.06,    31.74
Crater Bohr,              12.71,  -86.52,    70.07
Crater Bok,              -20.26, -171.58,    43.03
Crater Boltzmann,        -74.82,  -90.41,    72.31
Crater Bolyai,           -33.85,  126.12,   102.22
Crater Bombelli,           5.28,   56.19,     9.72
Crater Bondarenko,       -17.24,  136.89,    28.26
Crater Bonpland,          -8.38,  -17.33,    59.25
Crater Boole,             63.79,  -87.29,    61.34
Crater Borda,            -25.02,   46.52,    45.04
Crater Borel,             22.37,   26.42,     4.66
Crater Boris,             30.53,  -33.05,     1.73
Crater Borman,           -39.06, -148.25,    50.72
Crater Born,              -6.05,   66.83,    15.07
Crater Borya,             38.03,  -35.00,     0.04
Crater Bosch,             86.82,  133.54,    19.58
Crater Boscovich,          9.71,   11.01,    41.53
Crater Bose,             -53.95, -169.36,    92.55
Crater Boss,              45.75,   88.68,    50.02
Crater Bouguer,           52.32,  -35.82,    22.23
Crater Boussingault,     -70.21,   53.73,   127.61
Crater Bowditch,         -24.97,  103.07,    43.04
Crater Bowen,             17.63,    9.01,     8.09
Crater Boyle,            -53.29,  177.89,    57.13
Crater Brackett,          17.84,   23.54,     8.87
Crater Bragg,             42.33, -103.44,    77.21
Crater Brashear,         -73.54, -171.57,    60.16
Crater Braude,           -81.82,  158.88,    11.28
Crater Brayley,           20.09,  -36.94,    14.17
Crater Bredikhin,         17.25, -158.37,    61.68
Crater Breislak,         -48.31,   18.31,    48.64
Crater Brenner,          -39.09,   39.11,    90.01
Crater Brewster,          23.27,   34.69,     9.83
Crater Brianchon,         74.75,  -88.36,   137.26
Crater Bridgman,          43.39,  136.98,    81.89
Crater Briggs,            26.45,  -69.19,    36.75
Crater Brisbane,         -49.02,   68.76,    44.32
Crater Bronk,             25.09, -134.67,    66.16
Crater Brouwer,          -35.82, -124.75,   119.06
Crater Brown,            -46.53,  -17.99,    34.03
Crater Bruce,              1.16,    0.37,     6.14
Crater Brunner,           -9.86,   90.91,    50.66
Crater Buch,             -38.09,   17.68,    51.31
Crater Buffon,           -40.64, -133.53,   105.76
Crater Buisson,           -1.47,  112.95,    61.27
Crater Bullialdus,       -20.75,  -22.26,    60.72
Crater Bunsen,            41.04,  -85.46,    55.22
Crater Burckhardt,        31.11,   56.39,    54.36
Crater Bürg,              45.07,   28.21,    41.04
Crater Burnham,          -13.92,    7.25,    24.09
Crater Büsching,         -38.04,   19.96,    53.49
Crater Butlerov,          12.05, -108.81,    38.77
Crater Buys-Ballot,       20.86,  174.82,    66.38
Crater Byrd,              85.43,   10.07,    97.49
Crater Byrgius,          -24.73,  -65.38,    84.46
Crater C. Herschel,       34.48,  -31.29,    13.07
Crater C. Mayer,          63.26,   17.31,    37.54
Crater Cabannes,         -61.24, -170.21,    81.03
Crater Cabeus,           -85.33,  -42.13,   100.58
Crater Cailleux,         -60.41,  153.05,    52.85
Crater Cai Lun,           80.12,  113.66,    44.89
Crater Cajal,             12.59,   31.08,     8.57
Crater Cajori,           -47.67,  168.07,    74.65
Crater Calippus,          38.92,   10.72,    34.03
Crater Cameron,            6.19,   45.93,    10.91
Crater Campanus,         -28.04,  -27.09,    46.41
Crater Campbell,          45.57,  152.91,   222.48
Crater Cannizzaro,        55.05,  -99.73,    54.51
Crater Cannon,            19.88,   81.36,    57.58
Crater Cantor,            38.04,  118.69,    75.72
Crater Capella,           -7.65,   34.92,    48.13
Crater Capuanus,         -34.09,  -26.73,    59.69
Crater Cardanus,          13.27,  -72.05,    49.57
Crater Carlini,           33.75,  -24.12,    10.66
Crater Carlos,            24.91,    2.28,     4.67
Crater Carmichael,        19.53,   40.36,    19.73
Crater Carnot,            52.09, -144.02,   126.06
Crater Carol,              8.48,  122.37,     6.25
Crater Carpenter,         69.52,  -51.23,    59.06
Crater Carrel,            10.67,   26.68,    15.59
Crater Carrillo,          -2.11,   80.96,    17.85
Crater Carrington,        43.97,   62.04,    27.77
Crater Cartan,             4.24,   59.29,    15.62
Crater Carver,           -43.46,  127.06,    62.45
Crater Casatus,          -72.07,  -30.75,   102.85
Crater Cassegrain,       -51.95,  113.03,    56.66
Crater Cassini,           40.25,    4.64,    56.88
Crater Catalán,          -45.07,  -87.37,    26.77
Crater Catharina,        -17.98,   23.55,    98.77
Crater Cauchy,             9.56,   38.63,    11.08
Crater Cavalerius,         5.01,  -66.93,    59.35
Crater Cavendish,        -24.63,  -53.78,    52.64
Crater Caventou,          29.74,  -29.38,     2.08
Crater Cayley,             3.94,   15.09,    14.02
Crater Celsius,          -34.01,   20.05,    38.96
Crater Censorinus,        -0.42,   32.69,     4.01
Crater Cepheus,           40.68,   45.78,    39.43
Crater Chacornac,         29.88,   31.67,    50.44
